Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
5493,"Hey, whatd you guys do to get up on there?",Ross,joy,positive,553,6,6,10,"00:08:48,027","00:08:50,362"
5494,Oh yeah? Well when you learned how to dance did you forget how to put on underpants?,Monica,joy,positive,553,7,6,10,"00:08:50,613","00:08:58,328"
5495,Yeah!,Ross,joy,positive,553,8,6,10,"00:08:57,286","00:08:58,328"
5496,Hey! Youre a good dancer!,Janine,surprise,positive,553,9,6,10,"0:09:02,625","0:09:05,337"
5497,Really?,Joey,surprise,positive,553,10,6,10,"0:09:05,337","0:09:05,644"
5498,"Yeah, well youd be better if you just loosened your hips a little.",Janine,neutral,neutral,553,11,6,10,"00:09:05,836","00:09:08,004"
5499,What do you mean?,Joey,neutral,neutral,553,12,6,10,"0:09:08,256","0:09:09,216"
5500,Like this.,Janine,neutral,neutral,553,13,6,10,"0:09:09,216","0:09:10,963"
5501,"Thats it, feel the rhythm. Thats better.",Janine,neutral,neutral,553,14,6,10,"00:09:12,718","00:09:16,471"
5502,Uh-huh.,Joey,neutral,neutral,553,15,6,10,"00:09:16,722","00:09:17,973"
5503,"Okay, youre dancing with that girl over there.",Director,neutral,neutral,553,16,6,10,"00:09:19,475","00:09:20,892"
5504,No-no-no-no-no we came together!,Joey,joy,positive,553,17,6,10,"00:09:21,143","00:09:23,645"
5505,"I dont see it.  You are dancing with the tall guy over there. Tall guy, raise your hand!",Director,neutral,neutral,553,18,6,10,"00:09:24,480","00:09:30,277"
5506,"No-no hey buddy, please let me dance with that girl, I really like her and I think I have a shot.",Joey,sadness,negative,553,19,6,10,"00:09:31,404","00:09:36,032"
5507,"Really, ythink so? I dont..",Director,anger,negative,553,20,6,10,"00:09:36,284","00:09:38,410"
5508,Why arent you home yet?!,Rachel,anger,negative,554,0,6,13,"00:19:47,561","00:19:50,229"
5509,Is someone there?,Monica,anger,negative,554,1,6,13,"00:19:50,397","00:19:52,315"
5510,"Oh yes, its me! Sorry!",Rachel,neutral,neutral,554,2,6,13,"00:19:53,066","00:19:56,152"
5511,What are you doing here?,Chandler,neutral,neutral,554,3,6,13,"00:19:56,320","00:19:58,279"
5512,"Uh, Im just, Im just looking out your window. At-at the view. What are you guys doing?",Rachel,neutral,neutral,554,4,6,13,"00:19:59,364","00:20:06,704"
5513,We got some,Chandler,neutral,neutral,554,5,6,13,"00:20:07,748","00:20:11,000"
5514,"Oh, he brought her back to his apartment.",Rachel,neutral,neutral,554,6,6,13,"00:20:15,047","00:20:17,840"
5515,Who?  Is that your sister?,Monica,surprise,negative,554,7,6,13,"00:20:18,926","00:20:25,973"
5516,"Ugh, she",Rachel,neutral,neutral,554,8,6,13,"00:20:26,183","00:20:30,186"
5517,"God, Ross is on a date with your sister! How weird is that?!",Monica,disgust,negative,554,9,6,13,"00:20:31,104","00:20:34,190"
5518,"Oh my God, look-look hes taking off her clothes!",Rachel,sadness,negative,554,10,6,13,"0:20:34,358","0:20:36,486"
5519,Hes taking off her coat!,Chandler,disgust,negative,554,11,6,13,"0:20:36,486","0:20:37,053"
5520,"Oh, this is just terrible.",Rachel,disgust,negative,554,12,6,13,"00:20:40,197","00:20:41,948"
5521,Ross! Wait!,Elizabeth,sadness,negative,555,0,6,24,"00:18:58,512","00:19:00,096"
5522,"Elizabeth, thank God! I was just thinking about",Ross,joy,positive,555,1,6,24,"00:19:00,264","00:19:03,724"
5523,You suck!!,Elizabeth,anger,negative,555,2,6,24,"00:19:03,892","00:19:05,935"
5524,What?!,Ross,anger,negative,555,3,6,24,"00:19:06,103","00:19:07,186"
5525,"Okay, break-ups still on!",Ross,anger,negative,555,4,6,24,"00:19:13,235","00:19:17,780"
5526,Hey.,Joey,neutral,neutral,556,0,8,16,"0:07:31,534","0:07:33,126"
5527,Hey.,Ross,neutral,neutral,556,1,8,16,"0:07:33,126","0:07:34,415"
5528,"Look, I understand if you came by to hit me, I deserve it.",Joey,sadness,negative,556,2,8,16,"00:07:35,580","00:07:39,374"
5529,"No, I dont want to hit you.",Ross,neutral,neutral,556,3,8,16,"00:07:39,584","00:07:41,877"
5530,Oh what then? Kick me?,Joey,anger,negative,556,4,8,16,"00:07:42,086","00:07:44,588"
5531,No.,Ross,neutral,neutral,556,5,8,16,"00:07:44,922","00:07:46,173"
5532,"My son? Pretty serious.  Oh hey Katie!  What uh, what are you doing here?",Ross,surprise,positive,556,6,8,16,"00:21:40,507","00:21:50,891"
5533,"Well, the delivery went out to you and I realized they forgot this.",Katie,neutral,neutral,557,0,8,21,"00:10:09,192","00:10:12,029"
5534,"Ah, mustve been fairly obvious since it was the only thing left in your store.",Ross,neutral,neutral,557,1,8,21,"00:10:12,195","00:10:16,575"
5535,"Listen, to be honest, home deliveries are really a part of my job description.",Katie,neutral,neutral,557,2,8,21,"00:10:18,201","00:10:24,124"
5536,Oh.,Ross,neutral,neutral,557,3,8,21,"00:10:24,291","00:10:25,709"
5537,Oh uhI actually came here to ask you out.,Katie,fear,negative,557,4,8,21,"00:10:26,668","00:10:31,340"
5538,"Oh! Wow! Uh, yeah! That sounds great. Im just gonna put this  back in my pocket, pretend",Ross,joy,positive,557,5,8,21,"00:10:31,506","00:10:35,927"
5539,Sure!,Katie,joy,positive,557,6,8,21,"00:10:45,479","00:10:48,732"
5540,Horny bitch.  No! Youre a horny bitch! Noooo! Youre the horny bitch! No! Youre a horny bitch!,Rachel,anger,negative,557,7,8,21,"00:10:45,479","00:10:59,201"
5541,Chandler!! You have the best taste in men!,Rachel,joy,positive,558,0,4,10,"00:10:43,726","00:10:47,145"
5542,"Well, like father, like son.",Chandler,neutral,neutral,558,1,4,10,"00:10:48,314","00:10:50,440"
5543,Patrick and I had such a great time last night! I mean I think this could maybe turn into something serious.,Rachel,joy,positive,558,2,4,10,"00:10:51,484","00:10:56,095"
5544,Really?! I-I thought you werent looking for something serious? I thought you were looking for some kind of a fling.,Chandler,surprise,positive,558,3,4,10,"00:10:57,365","00:11:01,117"
5545,"Well, y'know, possibly.  You didnt tell him that, though? Right?",Rachel,fear,negative,558,4,4,10,"00:11:01,369","00:11:09,793"
5546,"Ummmmmmmm, no.",Chandler,neutral,neutral,558,5,4,10,"00:11:09,960","00:11:12,837"
5547,You told this guy that I was looking for a fling?! You dont tell the guy that!,Rachel,anger,negative,558,6,4,10,"00:11:14,048","00:11:20,095"
5549,"Oh, between you telling him that I wanted to have a fling and me putting out on the first dateoh, hes so gonna get the wrong idea.",Rachel,sadness,negative,558,8,4,10,"00:11:25,643","00:11:31,940"
5550,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",Chandler,neutral,neutral,559,0,1,1,"00:01:19,037","00:01:25,417"
5551,"Oh, yeah. Had that dream.",All,neutral,neutral,559,1,1,1,"00:01:25,627","00:01:27,169"
5552,"Then I look down, and I realize there's a phone... there.",Chandler,surprise,negative,559,2,1,1,"00:01:27,378","00:01:31,465"
5553,Instead of...?,Joey,surprise,negative,559,3,1,1,"0:01:34,928","0:01:35,600"
5554,That's right.,Chandler,neutral,neutral,559,4,1,1,"0:01:35,600","0:01:36,892"
5555,Never had that dream.,Joey,neutral,neutral,559,5,1,1,"0:01:37,055","0:01:37,973"
5556,No.,Phoebe,neutral,neutral,559,6,1,1,"0:01:37,973","0:01:38,629"
5557,"All of a sudden, the phone starts to ring.",Chandler,neutral,neutral,559,7,1,1,"00:01:38,723","00:01:42,851"
5560,Honey! Dinners ready!,Monica,joy,positive,560,0,7,16,"00:20:03,994","00:20:05,828"
5561,Whats my little chef got for me tonight?,Joey,joy,positive,560,1,7,16,"00:20:11,793","00:20:14,253"
5562,Your favorite!,Monica,joy,positive,560,2,7,16,"00:20:14,421","00:20:16,797"
5563,"Ho-ho-ho,  fried stuff with cheese!",Joey,joy,positive,560,3,7,16,"00:20:16,965","00:20:18,674"
5564,Yep! And lots of it!,Monica,joy,positive,560,4,7,16,"00:20:19,218","00:20:21,969"
5565,Thanks sweetheart. Give me a little sugar here.  Okay.,Joey,joy,positive,560,5,7,16,"00:20:23,472","00:20:27,975"
5566,"Okay, in we go.",Monica,joy,positive,560,6,7,16,"00:20:30,646","00:20:32,980"
5567,Here we go! Here we go! Here we go!  How you doin?,Joey,joy,positive,560,7,7,16,"00:20:30,646","00:20:39,111"
5568,"Something went wrong with Underdog, and they couldn't get his head to inflate.",Monica,neutral,neutral,561,0,1,5,"00:17:40,934","00:17:45,271"
5569,"So anyway, um, his head is like flopping down Broadway, right, and I'm just thinking... how inappropriate this is.",Monica,joy,positive,561,1,1,5,"00:17:46,607","00:17:54,447"
5570,"Um, I've got something in my eye, uh, Joey, could we check it in the light, please?",Monica,neutral,neutral,561,2,1,5,"00:17:58,786","00:18:02,789"
5571,Oh my god.,Monica,surprise,negative,561,3,1,5,"0:18:06,126","0:18:06,968"
5572,What?,Joey,surprise,negative,561,4,1,5,"0:18:06,968","0:18:07,599"
5573,Hello! Were we at the same table? It's like... cocktails in Appalachia.,Monica,anger,negative,561,5,1,5,"00:18:07,795","00:18:13,007"
5574,"Come on, they're close.",Joey,neutral,neutral,561,6,1,5,"0:18:17,513","0:18:18,605"
5575,Close? She's got her tongue in his ear.,Monica,disgust,negative,561,7,1,5,"0:18:18,605","0:18:21,738"
5576,"Oh, like you've never gotten a little rambunctious with Ross.",Joey,neutral,neutral,561,8,1,5,"00:18:22,476","00:18:26,479"
5577,"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?",Monica,disgust,negative,561,9,1,5,"00:18:27,689","00:18:33,903"
5578,"Well, who's to say what's true? I mean...",Joey,neutral,neutral,561,10,1,5,"00:18:34,154","00:18:39,951"
5579,"Oh my god, what were you thinking?",Monica,disgust,negative,561,11,1,5,"00:18:36,073","00:18:41,619"
5580,"All right, look, I'm not proud of this, ok? Well, maybe I am a little.",Joey,neutral,neutral,561,12,1,5,"00:18:37,407","00:18:43,496"
5581,Oh!,Monica,surprise,negative,561,13,1,5,"0:18:41,829","0:18:42,211"
5582,Ow!,Joey,surprise,negative,561,14,1,5,"0:18:42,211","0:18:43,558"
5583,I'm outta here.,Monica,disgust,negative,561,15,1,5,"00:18:43,705","00:18:45,581"
5584,"Wait, wait, wait. You want him, I want her. He likes you.",Joey,neutral,neutral,561,16,1,5,"00:18:45,791","00:18:52,004"
5585,Really?,Monica,surprise,positive,561,17,1,5,"00:18:50,129","00:18:52,004"
5586,"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up.",Joey,neutral,neutral,561,18,1,5,"00:18:52,256","00:18:58,261"
5587,Hello! One marriage please!,Chandler,joy,positive,562,0,5,24,"00:20:36,526","00:20:38,736"
5588,"Yep, we wanna get married!",Monica,joy,positive,562,1,5,24,"00:20:38,987","00:20:40,404"
5589,All right.,Monica,neutral,neutral,562,2,5,24,"00:20:43,784","00:20:45,117"
5590,Dum! Dum-dum-dum! Dum! Dum! Dum! Dum-dum-dum!,Chandler,joy,positive,562,3,5,24,"00:20:47,871","00:20:49,205"
5591,What are you doing?,Monica,neutral,neutral,562,4,5,24,"00:20:54,002","00:20:55,253"
5592,"Oh, that's",Chandler,neutral,neutral,562,5,5,24,"00:20:55,504","00:20:58,005"
5593,"No, only because that's the graduation song.",Monica,neutral,neutral,562,6,5,24,"00:20:58,215","00:21:00,091"
5594,Okay!  This is it!  We're gonna get married!,Chandler,joy,positive,562,7,5,24,"00:21:04,763","00:21:09,267"
5595,Are you sure you wanna do this?,Monica,neutral,neutral,562,8,5,24,"00:21:09,476","00:21:11,060"
5596,"Well, hello, Mrs. Ross!",Ross,joy,positive,562,9,5,24,"00:21:16,733","00:21:18,985"
5597,"Well, hello, Mr. Rachel!",Rachel,joy,positive,562,10,5,24,"00:21:19,236","00:21:22,321"
5598,Wait!  Okay!,Rachel,neutral,neutral,562,11,5,24,"00:21:24,491","00:21:26,284"
5599,Would you ever be a surrogate for anyone?,Monica,neutral,neutral,563,0,4,11,"00:21:31,248","00:21:32,999"
5600,It depends on who asked.,Rachel,neutral,neutral,563,1,4,11,"00:21:33,458","00:21:34,709"
5601,What if I asked?,Monica,neutral,neutral,563,2,4,11,"00:21:35,502","00:21:36,627"
5602,"Oh, Mon, sure.",Rachel,neutral,neutral,563,3,4,11,"00:21:37,296","00:21:39,463"
5603,Really?,Monica,surprise,positive,563,4,4,11,"00:21:39,673","00:21:41,924"
5604,Yes.  Youre not asking are you?,Rachel,surprise,positive,563,5,4,11,"0:21:45,679","0:21:47,281"
5605,No.,Monica,neutral,neutral,563,6,4,11,"0:21:47,281","0:21:47,856"
5606,Yes! Totally!,Rachel,joy,positive,563,7,4,11,"00:21:48,432","00:21:50,182"
5607,Oh! Thank you! Thank you! Thank you! Yes! Thank you!,Kathy,joy,positive,563,8,4,11,"00:21:54,396","00:22:00,693"
5608,"Youarenot going to believe it! Joshua came into work today, and guess what happened?",Rachel,joy,positive,564,0,4,15,"00:13:17,463","00:13:21,925"
5609,He asked you out?!,Monica,surprise,positive,564,1,4,15,"00:13:22,092","00:13:23,551"
5610,No. But I was showing him some cufflinks and I felt his pulse.,Rachel,joy,positive,564,2,4,15,"00:13:23,719","00:13:27,639"
5611,Saucy!,Monica,joy,positive,564,3,4,15,"00:13:29,642","00:13:31,518"
5612,What are these?,Rachel,neutral,neutral,564,4,4,15,"0:13:32,436","0:13:33,398"
5613,Electrical plans for the building.,Monica,neutral,neutral,564,5,4,15,"0:13:33,398","0:13:36,277"
5614,"Okay, okay, okay should I be scared?",Rachel,fear,negative,564,6,4,15,"00:13:37,566","00:13:40,109"
5615,"I know that switch does something, okay?",Monica,neutral,neutral,564,7,4,15,"0:13:40,277","0:13:42,488"
5616,So-so I went down to city hall and got these.,Monica,neutral,neutral,564,8,4,15,"0:13:42,488","0:13:44,298"
5617,All I had to do was pay $25 and wait in line for three hours.,Monica,sadness,negative,564,9,4,15,"00:13:44,406","00:13:47,200"
5618,Wow! If only more people knew.,Rachel,surprise,positive,564,10,4,15,"00:13:48,661","00:13:50,829"
5619,Uh-oh-okay. Uh-oh-okay. I know what you all are thinking. But Chandler is in,Janice,neutral,neutral,565,0,5,12,"00:10:33,257","00:10:37,177"
5620,Yeah! No that's what I was thinking.,Rachel,neutral,neutral,565,1,5,12,"00:10:42,391","00:10:44,476"
5621,"So I'm asking you please, take a moment before you judge me.",Janice,neutral,neutral,565,2,5,12,"00:10:46,520","00:10:50,857"
5622,"Oh, nobody's judging you.",Phoebe,neutral,neutral,565,3,5,12,"00:10:51,025","00:10:52,359"
5623,"Oh! Okay!  You, Mister Right Place at the Right Time, call me!",Janice,joy,positive,565,4,5,12,"00:10:53,361","00:11:01,701"
5624,Oh man!,Ross,surprise,negative,566,0,5,14,"0:09:02,166","0:09:03,258"
5625,I want that place so much!!,Ross,joy,positive,566,1,5,14,"0:09:03,258","0:09:05,260"
5626,I was so sure that was gonna work!,Ross,sadness,negative,567,0,5,12,"00:09:05,419","00:09:08,129"
5627,There's twelve bucks I'll never see again!,Ross,disgust,negative,568,0,5,14,"00:09:08,381","00:09:11,466"
5628,"All right honey, we'd better go if we wanna catch that movie.",Rachel,neutral,neutral,568,1,5,14,"00:09:12,343","00:09:14,761"
5629,Bye!,Monica,neutral,neutral,568,2,5,14,"0:09:15,596","0:09:16,389"
5630,Bye!,All,neutral,neutral,568,3,5,14,"0:09:16,389","0:09:17,155"
5631,Bye Chandler!   I miss you already.,Phoebe,sadness,negative,568,4,5,14,"00:09:15,596","00:09:20,225"
5632,"Okay, did you see that?! With the inappropriate and the pinching!!",Chandler,disgust,negative,568,5,5,14,"00:09:25,439","00:09:28,316"
5633,"Actually, I did!",Monica,surprise,positive,568,6,5,14,"00:09:28,568","00:09:29,651"
5634,"Okay, so now do you believe that she's attracted to me?",Chandler,neutral,neutral,568,7,5,14,"00:09:29,902","00:09:32,404"
5635,"Ohhh, oh my God! Oh my God! She knows about us!",Monica,surprise,negative,568,8,5,14,"00:09:34,448","00:09:37,450"
5636,Are you serious?,Chandler,surprise,negative,568,9,5,14,"00:09:37,660","00:09:38,702"
5637,Phoebe knows and she's just trying to freak us out! That's the only explanation for it!,Monica,anger,negative,568,10,5,14,"00:09:38,869","00:09:43,790"
5638,Okay but what about y'know my pinchable butt and my bulging bicepsShe knows!,Chandler,anger,negative,568,11,5,14,"00:09:47,169","00:10:00,015"
5639,"Ross, umm, you've been in there for a long time. I'm starting to get kinda freaked out.",Elizabeth,fear,negative,569,0,5,11,"00:16:07,925","00:16:13,096"
5640,"All right, I'm coming out. Hey, can you turn the lights off.",Ross,neutral,neutral,569,1,5,11,"00:16:13,263","00:16:19,894"
5641,"No, let's just leave the lights on.",Elizabeth,neutral,neutral,569,2,5,11,"00:16:21,981","00:16:25,733"
5642,Oh my God!,Elizabeth,surprise,negative,569,3,5,11,"00:16:35,786","00:16:37,704"
5643,"You wanna go right now? 'Cause I'll take you right now, buddy! You wanna go?",Monica,anger,negative,570,0,5,10,"00:13:24,386","00:13:27,514"
5644,Oh fine.,Ross,neutral,neutral,570,1,5,10,"00:13:28,808","00:13:29,933"
5645,Ready?  Wrestle!,Monica,joy,positive,570,2,5,10,"00:13:32,186","00:13:35,939"
5646,"Okay, y'know what uh, actually, that's great. That helps a lot. Thanks.",Rachel,neutral,neutral,570,3,5,10,"00:13:40,236","00:13:44,864"
5647,"All right now remember, something this big and long is going to be difficult to manuver, fortunately I have a lot of experience in that area.",Joey,neutral,neutral,571,0,3,8,"00:20:26,850","00:20:33,814"
5648,"Can we please focus here, a naked mans life hangs in the balance!",Ross,fear,negative,571,1,3,8,"00:20:35,192","00:20:39,987"
5649,Im telling you hes dead. What we are about to have here is a dead fat guy on a stick.,Phoebe,anger,negative,571,2,3,8,"00:20:40,239","00:20:45,326"
5650,"All right, ladies and gentlemen, lets poke.",Joey,neutral,neutral,571,3,3,8,"00:20:46,245","00:20:49,121"
5651,Steady.,Joey,neutral,neutral,571,4,3,8,"0:20:49,456","0:20:49,999"
5652,Steady.,Joey,neutral,neutral,571,5,3,8,"0:20:49,999","0:20:52,295"
5653,"Okay, a little higher.",Joey,neutral,neutral,571,6,3,8,"00:20:52,417","00:20:54,335"
5654,Careful of the angle.,Joey,neutral,neutral,571,7,3,8,"00:20:54,628","00:20:56,212"
5655,"Okay, okay, were approaching the window  Thread the needle.",Joey,neutral,neutral,571,8,3,8,"00:20:56,380","00:21:05,513"
5656,Thread the needle.,Joey,neutral,neutral,571,9,3,8,"00:21:03,011","00:21:05,513"
5657,Hes alive! Hes a-live!!!,Phoebe,joy,positive,571,10,3,8,"00:21:11,186","00:21:13,896"
5658,"And yet, were still poking him.",Monica,disgust,negative,571,11,3,8,"00:21:15,983","00:21:18,401"
5659,"Okay, retract the device, retract the device.",Joey,neutral,neutral,571,12,3,8,"00:21:18,568","00:21:21,237"
5660,He does not look happy.,Ross,anger,negative,571,13,3,8,"00:21:21,738","00:21:24,615"
5661,"Hey-hey, now hes showing us his poking device.",Rachel,surprise,positive,571,14,3,8,"00:21:24,783","00:21:27,785"
5662,"Hey, thats never gonna make it all the way over here, buddy!",Joey,anger,negative,571,15,3,8,"00:21:28,787","00:21:33,332"
5663,"Well they have uh, some unusual pet names for each other.",Rachel,sadness,negative,572,0,8,23,"00:09:13,249","00:09:16,961"
5664,"Including umm, evil bitch and uh, sick bastard.",Rachel,disgust,negative,572,1,8,23,"00:09:17,128","00:09:22,425"
5665,Oh God oh!,Rachel,surprise,negative,572,2,8,23,"0:09:23,884","0:09:28,056"
5666,Contraction!,Rachel,surprise,negative,572,3,8,23,"0:09:28,056","0:09:28,515"
5669,Are you looking at her?!,Evil Bitch,anger,negative,572,6,8,23,"0:09:28,723","0:09:29,905"
5670,No!,Sick Bastard,anger,negative,572,7,8,23,"0:09:29,905","0:09:30,772"
5671,Dont you look at her you sick bastard!,Evil Bitch,anger,negative,572,8,8,23,"0:09:30,933","0:09:32,644"
5672,Honey I swear! I wasnt looking at her!,Sick Bastard,fear,negative,572,9,8,23,"0:09:32,644","0:09:36,213"
5673,Shes in labor! You like that you sick son of a bitch!,Evil Bitch,anger,negative,572,10,8,23,"00:09:36,397","00:09:40,067"
5674,"Umm. Umm, Im-Im just gonna",Ross,neutral,neutral,572,11,8,23,"00:09:44,405","00:09:45,614"
5675,See? See? It was because you were looking fat pervert!,Evil Bitch,anger,negative,572,12,8,23,"00:09:45,781","00:09:48,993"
5676,"No-no, ImIm sure no one was looking. Just want some privacy.",Ross,neutral,neutral,572,13,8,23,"00:09:49,785","00:09:53,831"
5677,You miss your girlfriend?,Evil Bitch,neutral,neutral,572,14,8,23,"00:09:57,793","00:09:59,670"
5678,Just ignore them.,Ross,neutral,neutral,572,15,8,23,"00:10:00,963","00:10:03,799"
5679,Ross.,Rachel,neutral,neutral,572,16,8,23,"0:10:11,098","0:10:12,183"
5680,What? What?,Ross,fear,negative,572,17,8,23,"0:10:12,183","0:10:12,328"
5681,Hes looking at me.,Rachel,neutral,neutral,572,18,8,23,"00:10:12,433","00:10:16,103"
5682,Hey! You wanna live to see your baby?!,Ross,anger,negative,572,19,8,23,"00:10:16,270","00:10:21,859"
5683,Dont you talk to my husband like that you stupid bastard!,Evil Bitch,anger,negative,572,20,8,23,"00:10:18,439","00:10:21,859"
5684,Pat Sajak?,Phoebe,neutral,neutral,573,0,6,17,"0:15:41,148","0:15:41,816"
5685,Yep!,Rachel,joy,positive,573,1,6,17,"0:15:41,816","0:15:43,331"
5686,Alex Trebek?,Phoebe,neutral,neutral,573,2,6,17,"0:15:43,442","0:15:44,443"
5687,"Oh, of course!",Rachel,joy,positive,573,3,6,17,"0:15:44,443","0:15:45,372"
5688,Chuck Woolery?,Phoebe,neutral,neutral,573,4,6,17,"00:15:45,486","00:15:47,195"
5689,"Definitely! Phoebe, you will not find a single game show host, whos ass I cannot kick.",Rachel,joy,positive,573,5,6,17,"00:15:47,363","00:16:02,377"
5690,Say it!,Rachel,joy,positive,573,6,6,17,"0:16:02,628","0:16:03,880"
5691,Say we are unagi!,Phoebe,joy,positive,573,7,6,17,"0:16:03,880","0:16:05,104"
5692,Its not something you are! Its something you have!,Ross,anger,negative,573,8,6,17,"00:16:06,632","00:16:09,717"
5693,Say it!,Rachel,joy,positive,573,9,6,17,"00:16:10,761","00:16:11,803"
5694,"Yknow what? I can easily get out of this, but there is a chance you can get very, very hurt!",Ross,anger,negative,573,10,6,17,"00:16:11,971","00:16:17,767"
5695,"Hey, Rach, can I borrow your eyelash curler, I think I lost mine.",Monica,neutral,neutral,574,0,5,5,"00:19:52,649","00:19:55,234"
5696,"Yeah, it's in there.",Rachel,neutral,neutral,574,1,5,5,"00:19:55,402","00:19:57,361"
5697,Oh! Ohh! Oh!!,Joey,surprise,negative,574,2,5,5,"00:20:02,201","00:20:03,951"
5698,"Joey, can I talk to you for a second?",Chandler,neutral,neutral,574,3,5,5,"00:20:04,161","00:20:06,120"
5699,Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,Joey,surprise,negative,574,4,5,5,"00:20:09,082","00:20:11,000"
5700,oooooooooooooohhhhhhhhhhh,Joey,surprise,negative,574,5,5,5,"00:20:12,920","00:20:18,424"
5701,Yes. Yes.,Chandler,neutral,neutral,574,6,5,5,"00:20:19,468","00:20:23,221"
5702,You?!  And-and you?!,Joey,surprise,negative,574,7,5,5,"00:20:24,014","00:20:27,183"
5703,"Yes, but you cannot tell anyone! No one knows!",Monica,joy,positive,574,8,5,5,"00:20:27,893","00:20:30,353"
5704,How?! When?!,Joey,surprise,negative,574,9,5,5,"00:20:30,520","00:20:32,355"
5705,It happened in London.,Chandler,neutral,neutral,574,10,5,5,"0:20:32,856","0:20:33,941"
5706,IN LONDON!!!,Joey,surprise,negative,574,11,5,5,"0:20:33,941","0:20:35,292"
5707,The reason we didn't tell anyone was because we didn't want to make a big deal out of it.,Chandler,neutral,neutral,574,12,5,5,"00:20:37,861","00:20:41,697"
5708,But it is a big deal!! I have to tell someone!,Joey,surprise,negative,574,13,5,5,"00:20:41,865","00:20:45,576"
5709,No-no-no-no-no! You can't!,Chandler,fear,negative,574,14,5,5,"00:20:45,744","00:20:48,287"
5710,"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell.",Monica,fear,negative,574,15,5,5,"00:20:48,497","00:20:54,126"
5711,"All right! Man, this is unbelievable! I mean, it's",Joey,surprise,negative,574,16,5,5,"00:20:57,714","00:21:06,514"
5712,"I know, it's great!",Monica,joy,positive,574,17,5,5,"00:21:03,512","00:21:06,514"
5713,"Aww, I don't want to see that!",Joey,disgust,negative,574,18,5,5,"00:21:10,227","00:21:12,937"
5714,We're so stupid! Do you know what's going on in there? They're trying to take Joey!,Phoebe,sadness,negative,574,19,5,5,"00:21:15,691","00:21:21,696"
5715,"And my second grade teacher was Ms. Thomas, and my first grade teacher was Mrs. Cobb.",Julie,neutral,neutral,575,0,2,4,"00:18:26,355","00:18:28,981"
5716,"Mrs., Mrs. Gobb?",Rachel,neutral,neutral,575,1,2,4,"00:18:29,817","00:18:31,317"
5717,"No Cobb, as in cobb salad.",Julie,neutral,neutral,575,2,2,4,"00:18:31,610","00:18:33,402"
5718,"Now, what exactly is in a cobb salad?",Rachel,neutral,neutral,575,3,2,4,"00:18:36,156","00:18:39,450"
5720,What're we gonna do? What're we gonna do?,Chandler,fear,negative,576,0,2,6,"00:15:55,371","00:15:57,747"
5721,"Uh, uh, we'll flip for it. Ducks or clowns.",Joey,neutral,neutral,576,1,2,6,"00:15:58,666","00:16:00,833"
5722,"Oh, we're gonna flip for the baby?",Chandler,surprise,negative,576,2,2,6,"0:16:01,001","0:16:02,393"
5723,You got a better idea?,Joey,neutral,neutral,576,3,2,6,"0:16:02,393","0:16:03,178"
5724,"All right, call it in the air.",Chandler,neutral,neutral,576,4,2,6,"00:16:03,295","00:16:05,046"
5725,Heads.,Joey,neutral,neutral,576,5,2,6,"00:16:06,507","00:16:07,840"
5726,Heads it is.,Chandler,neutral,neutral,576,6,2,6,"00:16:06,507","00:16:09,384"
5727,Yes! Whew!,Joey,joy,positive,576,7,2,6,"00:16:09,551","00:16:10,802"
5728,We have to assign heads to something.,Chandler,neutral,neutral,576,8,2,6,"00:16:12,221","00:16:14,222"
5729,"Right. Ok, ok, uh, ducks is heads, because ducks have heads.",Joey,neutral,neutral,576,9,2,6,"00:16:15,933","00:16:23,815"
5730,What kind of scary-ass clowns came to your birthday?,Chandler,anger,negative,576,10,2,6,"00:16:28,570","00:16:31,280"
5731,"Okay, some tricks of the trade.",Joey,neutral,neutral,577,0,3,7,"00:12:21,907","00:12:24,325"
5732,"Now, Ive never been able to cry as an actor, so if Im in a scene where I have to cry, I cut a hole in my pocket, take a pair of tweezers, and just start pulling.",Joey,neutral,neutral,577,1,3,7,"00:12:24,493","00:12:36,337"
5733,"Or ah, or, lets say I wanna convey that Ive just done something evil.",Joey,neutral,neutral,577,2,3,7,"00:12:38,758","00:12:45,096"
5734,"That would be the basic I have a fishhook in my eyebrow and I like it  Okay, lets say Ive just gotten bad news, well all I do there is try and divide 232 by 13.",Joey,neutral,neutral,577,3,3,7,"00:12:45,264","00:13:02,363"
5735,And thats how its done.,Joey,neutral,neutral,577,4,3,7,"00:13:11,332","00:13:12,791"
5736,"Great soap opera acting tonight everybody, class dismissed.",Joey,joy,positive,577,5,3,7,"00:13:12,958","00:13:17,253"
5737,"Hey, Mr. Trib.",Student,neutral,neutral,577,6,3,7,"0:13:19,298","0:13:20,466"
5738,Hey-hey.,Joey,joy,positive,577,7,3,7,"0:13:20,466","0:13:21,033"
5739,Then Im gonna have to ask you to keep it down.,Phoebe,neutral,neutral,578,0,3,6,"00:10:07,356","00:10:10,317"
